Nom,Pays,Sexe,Distance,Taille,Poids,IMC,Temps,Vitesse
Peter Brothers,CAN,Homme,400,182,63,19.0194421,234.57,6.138892441
Stefan Sorak,SRB,Homme,400,191,86,23.57391519,234.66,6.13653797
Nikita Lobintsev,RUS,Homme,400,193,83,22.28247738,234.68,6.136014999
Federico Colbertaldo,ITA,Homme,400,182,67,20.22702572,234.92,6.129746297
Yohsuke Miyamoto,JPN,Homme,400,187,79,22.59143813,235.11,6.12479265
Kai Quan Yeo,SIN,Homme,400,181,62,18.92494124,235.14,6.124011227
William Brothers,CAN,Homme,400,182,72,21.73650525,235.27,6.120627364
Gabriele Detti,ITA,Homme,800,184,79,23.33412098,462.74,6.223797381
Gregorio Paltrinieri,ITA,Homme,800,188,66,18.67360797,463.01,6.220168031
Kohei Yamamoto,JPN,Homme,800,177,70,22.34351559,471.88,6.103246588
David McKeon,AUS,Homme,800,195,85,22.35371466,474.29,6.072234287
Samuel Pizzetti,ITA,Homme,800,187,68,19.44579485,474.41,6.070698341
Anthony Pannier,FRA,Homme,800,189,84,23.51557907,476.11,6.049022285
Devon Brown,RSA,Homme,800,187,67,19.15982728,477.63,6.029771999
Mads Glaesner,DEN,Homme,800,189,82,22.95568433,478.13,6.023466421
Axel Reymond,FRA,Homme,800,191,78,21.38099285,478.45,6.019437768
Naito Ehara,JPN,Homme,800,171,57,19.49317739,479.22,6.00976587
Jordan Harrison,AUS,Homme,800,185,77,22.49817385,479.85,6.001875586
Tae Hwan Park,KOR,Homme,800,183,58,17.31911971,480.86,5.989269226
Damien Joly,FRA,Homme,800,188,70,19.80534178,481.02,5.987277036
Pawel Furtek,POL,Homme,800,188,77,21.78587596,481.53,5.980935767
Jack McLoughlin,AUS,Homme,800,180,75,23.14814815,482.27,5.971758558
Ediz Yildirimer,TUR,Homme,800,174,65,21.46915048,482.48,5.969159343
Kier Maitland,CAN,Homme,800,175,70,22.85714286,482.69,5.96656239
Yohsuke Miyamoto,JPN,Homme,800,187,79,22.59143813,482.88,5.964214712
David Brandl,AUT,Homme,800,186,83,23.99121286,483.45,5.957182749
Ahmed Mathlouthi,TUN,Homme,800,190,90,24.93074792,483.62,5.955088706
Gergo Kis,HUN,Homme,800,180,75,23.14814815,484.79,5.940716599
Filip Zaborowski,POL,Homme,800,185,76,22.20598977,485.19,5.935818958
Federico Colbertaldo,ITA,Homme,800,182,67,20.22702572,485.54,5.931540141
Pal Joensen,FAR,Homme,800,180,75,23.14814815,485.62,5.930562992
Jarrod Poort,AUS,Homme,800,185,85,24.83564646,486.54,5.919348872
Yun Hao,CHN,Homme,800,185,80,23.37472608,486.91,5.914850794
Mateusz Sawrymowicz,POL,Homme,800,185,75,21.9138057,487,5.9137577
Enzo Vial Collet,FRA,Homme,800,187,81,23.16337327,487.15,5.911936775
Charlie Cuignet,FRA,Homme,800,184,74,21.85727788,487.37,5.909268113
Fumiya Hidaka,JPN,Homme,800,164,62,23.05175491,487.77,5.904422166
Nicola Bolzonello,ITA,Homme,800,178,67,21.14631991,489.15,5.887764489
Henrik Christiansen,NOR,Homme,800,175,75,24.48979592,489.36,5.885237862
Matthew Levings,AUS,Homme,800,186,68,19.6554515,490.94,5.866297307
